samsung,총당기순이익(조),영업이익(조),주가 평균(고가와 저가의 평균)KRW,aapl,총당기순이익(백만USD),영업이익(백만USD),주가 평균(고가와 저가의 평균)USD,amazon,총당기순이익(백만USD),영업이익(백만USD),주가 평균(고가와 저가의 평균)USD,ms,총당기순이익(백만USD),영업이익(백만USD),주가 평균(고가와 저가의 평균)USD,tsm,총당기순이익(백만USD),영업이익(백만USD),주가 평균(고가와 저가의 평균)USD,sk hynix,총당기순이익(백만USD),영업이익(조),주가 평균(고가와 저가의 평균)KRW,,,,,,,,,,,,
2017_1,7.68,9.9,37770,2017_1,"11,029","13,119",29.65,2017_1,724,"1,049",39.785,2017_1,"4,801","5,919",63.93,2017_1,"2,821","3,069",30.215,2017_1,"1,898,678","2,467,599",49550,,,,,,,,,,,,
2017_2,11.05,14.07,42940,2017_2,"8,717","10,547",35.695,2017_2,197,694,45.85,2017_2,"6,513","6,550",66.995,2017_2,"2,191","2,755",32.41,2017_2,"2,468,511","3,050,700",51550,,,,,,,,,,,,
2017_3,11.19,14.53,49050,2017_3,"10,714","13,091",37.05,2017_3,256,392,50.86,2017_3,"6,576","7,597",71.22,2017_3,"2,972","3,249",35.46,2017_3,"3,055,530","3,737,193",68350,,,,,,,,,,,,
2017_4,12.26,15.15,53790,2017_4,"20,065","26,431",40.265,2017_4,"1,856","2,187",51.83,2017_4,"6,302","8,660",79.955,2017_4,"3,297","3,648",40.21,2017_4,"3,219,500","4,465,834",83400,,,,,,,,,,,,
2018_1,11.69,15.64,50450,2018_1,"13,822","16,002",43.095,2018_1,"1,629","1,990",66.08,2018_1,"7,424","8,284",90.475,2018_1,"3,064","3,348",43.495,2018_1,"3,121,329","4,367,338",75350,,,,,,,,,,,,
2018_2,11.04,14.87,50280,2018_2,"11,519","12,980",42.445,2018_2,"2,534","3,063",74.775,2018_2,"8,873","10,332",92.705,2018_2,"2,429","2,859",41.135,2018_2,"4,328,542","5,573,917",83750,,,,,,,,,,,,
2018_3,13.15,17.57,46125,2018_3,"14,125","15,629",47.42,2018_3,"2,883","3,792",88.95,2018_3,"8,824","9,863",104.575,2018_3,"2,905","3,105",38.98,2018_3,"4,692,194","6,472,420",84900,,,,,,,,,,,,
2018_4,8.46,10.8,43600,2018_4,"19,965","23,034",54.945,2018_4,"3,027","3,872",87.74,2018_4,"8,420","10,170",108.145,2018_4,"3,241","3,476",40.465,2018_4,"3,397,919","4,430,075",68750,,,,,,,,,,,,
2019_1,5.04,6.23,41950,2019_1,"11,561","13,242",38.875,2019_1,"3,561","4,415",79.935,2019_1,"8,809","10,275",102.55,2019_1,"1,992","2,087",36.235,2019_1,"1,102,130","1,366,490",66900,,,,,,,,,,,,
2019_2,5.18,6.6,45700,2019_2,"10,044","11,489",49.605,2019_2,"2,625","3,170",93.88,2019_2,"13,187","12,310",124.735,2019_2,"2,145","2,459",43.19,2019_2,"537,025","637,630",78950,,,,,,,,,,,,
2019_3,6.29,7.78,45950,2019_3,"13,686","15,477",52.47,2019_3,"2,134","3,212",97.13,2019_3,"10,678","12,686",138.175,2019_3,"3,241","3,463",42.06,2019_3,"495,484","472,561",73450,,,,,,,,,,,,
2019_4,5.23,7.16,49925,2019_4,"22,236","25,301",58.11,2019_4,"3,268","3,944",87.095,2019_4,"11,649","13,891",139.445,2019_4,"3,806","4,075",49.15,2019_4,"-125,561","242,498",80550,,,,,,,,,,,,
2020_1,4.88,6.45,58700,2020_1,"11,249","12,899",77.575,2020_1,"2,535","4,059",96.78,2020_1,"10,752","12,975",165.28,2020_1,"3,888","4,266",57.12,2020_1,"649,050","800,301",98150,,,,,,,,,,,,
2020_2,5.56,8.15,48675,2020_2,"11,253","12,459",66.43,2020_2,"5,243","6,133",109.105,2020_2,"11,202","13,407",165.38,2020_2,"4,046","4,387",50.495,2020_2,"1,264,260","1,946,715",81600,,,,,,,,,,,,
2020_3,9.36,12.35,56250,2020_3,"12,673","14,680",97.78,2020_3,"6,331","6,256",152.455,2020_3,"13,893","15,876",206.945,2020_3,"4,684","5,101",70.08,2020_3,"1,077,862","1,299,696",84650,,,,,,,,,,,,
2020_4,6.61,9.05,59050,2020_4,"28,755","33,883",116.555,2020_4,"7,222","6,377",162.88,2020_4,"15,463","17,897",212.415,2020_4,"5,016","5,510",85.94,2020_4,"1,767,742","965,912",85400,,,,,,,,,,,,
2021_1,7.14,9.38,88500,2021_1,0,0,135.735,2021_1,0,0,161.245,2021_1,0,0,227.29,2021_1,0,0,123.285,2021_1,"992,640","1,324,421",130250,,,,,,,,,,,,
2021_2,9.63,12.57,83850,2021_2,0,0,129.78,2021_2,0,0,166.74,2021_2,0,0,250.62,2021_2,0,0,120.585,2021_2,"1,988,424","2,694,574",136750,,,,,,,,,,,,
2021_3,12.29,15.82,79700,2021_3,0,0,0,2021_3,0,0,177,2021_3,0,0,279.875,2021_3,0,0,118.915,2021_3,"3,315,251","4,171,821",120250,,,,,,,,,,,,
2021_4,10.84,13.87,71150,2021_4,0,0,0,2021_4,0,0,166.38,2021_4,0,0,306.125,2021_4,0,0,112.365,2021_4,"3,319,873","4,219,524",99500,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://www.deepsearch.com/analytics/company-analysis/KRX%3A005930/fs?c-name=%25EC%2582%25BC%25EC%2584%25B1%25EC%25A0%2584%25EC%259E%2590&c-symbol=KRX%253A005930&fs-list=IS%253A1000%253BIS%253A5000%253BIS%253A8200&std-from=2010-03-31&std-to=2022-03-31&fs-dtype=quarterly&fs-type=csd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
